home,away,home_score,away_score,postseason,date
Centre,Millsaps,1,3,False,2014-10-4
Oglethorpe,Rhodes,3,0,False,2014-10-4
Centre,Birmingham-Southern,0,3,False,2014-10-5
Sewanee,Millsaps,2,3,False,2014-10-5
Oglethorpe,Berry,0,3,False,2014-10-8
Hendrix,Rhodes,3,0,False,2014-10-8
Millsaps,Birmingham-Southern,0,3,False,2014-10-8
Berry,Centre,3,1,False,2014-10-10
Birmingham-Southern,Hendrix,0,3,False,2014-10-11
Oglethorpe,Centre,1,3,False,2014-10-11
Berry,Sewanee,3,1,False,2014-10-11
Millsaps,Rhodes,3,0,False,2014-10-11
Oglethorpe,Sewanee,2,3,False,2014-10-12
Millsaps,Hendrix,2,3,False,2014-10-12
Birmingham-Southern,Rhodes,3,1,False,2014-10-12
Sewanee,Centre,1,3,False,2014-10-15
Hendrix,Berry,3,0,False,2014-10-17
Hendrix,Oglethorpe,3,1,False,2014-10-18
Birmingham-Southern,Sewanee,2,3,False,2014-10-18
Millsaps,Centre,3,1,False,2014-10-18
Rhodes,Berry,0,3,False,2014-10-18
Birmingham-Southern,Centre,0,3,False,2014-10-19
Rhodes,Oglethorpe,1,3,False,2014-10-19
Millsaps,Sewanee,3,2,False,2014-10-19
Berry,Birmingham-Southern,1,3,False,2014-10-24
Oglethorpe,Birmingham-Southern,0,3,False,2014-10-25
Sewanee,Hendrix,0,3,False,2014-10-25
Centre,Rhodes,3,0,False,2014-10-25
Berry,Millsaps,1,3,False,2014-10-25
Centre,Hendrix,1,3,False,2014-10-26
Sewanee,Rhodes,3,0,False,2014-10-26
Oglethorpe,Millsaps,0,3,False,2014-10-26
Oglethorpe,Millsaps,0,3,True,2014-11-7
Sewanee,Birmingham-Southern,1,3,True,2014-11-7
Birmingham-Southern,Millsaps,3,1,True,2014-11-8
Birmingham-Southern,Hendrix,1,3,True,2014-11-9
Sewanee,Centre,1,3,False,2015-9-15
Millsaps,Birmingham-Southern,0,3,False,2015-9-16
Hendrix,Rhodes,3,0,False,2015-9-16
Oglethorpe,Millsaps,0,3,False,2015-9-19
Centre,Hendrix,0,3,False,2015-9-19
Sewanee,Rhodes,3,2,False,2015-9-19
Berry,Birmingham-Southern,0,3,False,2015-9-19
Centre,Rhodes,3,1,False,2015-9-20
Oglethorpe,Birmingham-Southern,0,3,False,2015-9-20
Sewanee,Hendrix,0,3,False,2015-9-20
Berry,Millsaps,3,0,False,2015-9-20
Oglethorpe,Berry,0,3,False,2015-9-23
Berry,Centre,3,0,False,2015-9-26
Oglethorpe,Sewanee,0,3,False,2015-9-26
Birmingham-Southern,Hendrix,0,3,False,2015-9-26
Millsaps,Rhodes,3,0,False,2015-9-26
Oglethorpe,Centre,0,3,False,2015-9-27
Millsaps,Hendrix,0,3,False,2015-9-27
Birmingham-Southern,Rhodes,3,2,False,2015-9-27
Berry,Sewanee,3,0,False,2015-9-27
Rhodes,Oglethorpe,3,0,False,2015-10-3
Millsaps,Centre,1,3,False,2015-10-3
Birmingham-Southern,Sewanee,3,2,False,2015-10-3
Hendrix,Berry,3,1,False,2015-10-3
Hendrix,Oglethorpe,3,0,False,2015-10-4
Birmingham-Southern,Centre,3,1,False,2015-10-4
Millsaps,Sewanee,3,1,False,2015-10-4
Rhodes,Berry,3,2,False,2015-10-4
Berry,Oglethorpe,3,0,False,2015-10-7
Centre,Oglethorpe,3,0,False,2015-10-10
Hendrix,Birmingham-Southern,3,2,False,2015-10-10
Sewanee,Berry,0,3,False,2015-10-10
Rhodes,Millsaps,0,3,False,2015-10-10
Sewanee,Oglethorpe,3,0,False,2015-10-11
Rhodes,Birmingham-Southern,0,3,False,2015-10-11
Hendrix,Millsaps,3,2,False,2015-10-11
Centre,Berry,0,3,False,2015-10-11
Rhodes,Hendrix,0,3,False,2015-10-14
Birmingham-Southern,Millsaps,3,0,False,2015-10-14
Centre,Sewanee,3,0,False,2015-10-15
Berry,Hendrix,3,0,False,2015-10-16
Sewanee,Birmingham-Southern,0,3,False,2015-10-17
Oglethorpe,Hendrix,0,3,False,2015-10-17
Centre,Millsaps,0,3,False,2015-10-17
Berry,Rhodes,3,1,False,2015-10-17
Oglethorpe,Rhodes,2,3,False,2015-10-18
Sewanee,Millsaps,0,3,False,2015-10-18
Centre,Birmingham-Southern,0,3,False,2015-10-18
Hendrix,Sewanee,3,0,False,2015-10-24
Rhodes,Centre,3,1,False,2015-10-24
