,home,away,home_score,away_score,postseason,date,home_won,home_elo,away_elo,elo_win_prob
0,Birmingham-Southern,Millsaps,3,0,False,2017-09-12,True,1594.0510407836425,1431.1556686002555,0.718635064459538
1,Oglethorpe,Berry,0,3,False,2017-09-13,False,1359.7414855166835,1616.3082003053,0.18589358046099266
2,Hendrix,Rhodes,3,0,False,2017-09-13,True,1671.3286018878114,1465.9517558878101,0.7653510697793754
3,Berry,Birmingham-Southern,3,1,False,2017-09-15,True,1624.863976209856,1607.5565576895847,0.524886795222866
4,Centre,Hendrix,2,3,False,2017-09-16,False,1479.9566194796055,1682.5917505384014,0.2374951656954155
5,Sewanee,Rhodes,1,3,False,2017-09-16,False,1360.3214294176723,1455.2378676754768,0.36670400109897144
6,Oglethorpe,Birmingham-Southern,0,3,False,2017-09-16,False,1350.8185936545558,1589.6392636047203,0.20185151699930529
7,Berry,Millsaps,3,0,False,2017-09-16,True,1643.8685044009414,1418.3917207451107,0.7854895505571459
8,Oglethorpe,Millsaps,0,3,False,2017-09-17,False,1341.129720838589,1408.566481920558,0.4041513628539485
9,Centre,Rhodes,2,3,False,2017-09-17,False,1471.4067935145706,1469.1308559352606,0.5032752906152855
10,Sewanee,Hendrix,3,0,False,2017-09-17,True,1345.6532693737136,1690.8248741267882,0.12057805810857025
11,Millsaps,Centre,1,3,False,2017-09-23,False,1426.6899190779989,1453.2888830524203,0.4617956248233633
12,Rhodes,Oglethorpe,3,0,False,2017-09-23,True,1486.3106807195495,1321.7304554215996,0.7205919831350933
13,Hendrix,Berry,0,3,False,2017-09-23,False,1649.9676983698625,1654.1650059741985,0.4939598826410563
14,Birmingham-Southern,Sewanee,3,0,False,2017-09-23,True,1598.9039929730977,1387.8655225845023,0.7711533442070347
15,Hendrix,Oglethorpe,3,1,False,2017-09-24,True,1626.257624003092,1309.0521329022913,0.8612823233623539
16,Millsaps,Sewanee,3,2,False,2017-09-24,True,1408.2180940850644,1377.407315538066,0.5442244049090764
17,Birmingham-Southern,Centre,3,2,False,2017-09-24,True,1609.88863245116,1470.708856209506,0.6902275211147761
18,Rhodes,Berry,0,3,False,2017-09-24,False,1499.722265529065,1676.2413676040474,0.26578276704130227
19,Sewanee,Centre,2,3,False,2017-09-26,False,1361.8386785938162,1460.0450471602735,0.36231710967097397
20,Berry,Oglethorpe,3,0,False,2017-09-27,True,1688.3229851410852,1303.6543175529946,0.9015290645547386
21,Berry,Sewanee,3,0,False,2017-09-30,True,1693.0495900424578,1348.795262645661,0.8788609043764911
22,Oglethorpe,Centre,0,3,False,2017-09-30,False,1299.0423928901491,1472.470625015038,0.2692692691812959
23,Birmingham-Southern,Hendrix,3,2,False,2017-09-30,True,1621.040441691028,1631.8063310685977,0.484511596638801
24,Millsaps,Rhodes,2,3,False,2017-09-30,False,1424.6260155083376,1486.9646927110825,0.4112379111066052
25,Berry,Centre,3,0,False,2017-10-01,True,1698.8642666323863,1484.7050239022574,0.7743082114982179
26,Millsaps,Hendrix,3,1,False,2017-10-01,True,1409.8214507084997,1614.2099367287212,0.2356722352283949
27,Birmingham-Southern,Rhodes,3,1,False,2017-10-01,True,1639.5980242120313,1501.032451410713,0.6894710457551666
28,Oglethorpe,Sewanee,0,3,False,2017-10-01,False,1286.117467969447,1343.1494800389153,0.4186536712853507
29,Rhodes,Hendrix,0,3,False,2017-10-04,False,1489.2151991600067,1584.963176436299,0.36559308085651804
