,home,away,home_score,away_score,postseason,date,home_won,home_elo,away_elo,elo_win_prob
0,Hendrix,Rhodes,1,3,False,2013-09-14,False,1479.9047982818756,1398.381957425291,0.6152140842911663
1,Millsaps,Birmingham-Southern,3,0,False,2013-09-17,True,1580.1066771529918,1500.0,0.6132824705670333
2,Sewanee,Berry,0,3,False,2013-09-20,False,1501.6572204550682,1609.6756929096557,0.34937120034105756
3,Sewanee,Oglethorpe,3,2,False,2013-09-21,True,1484.8874028386974,1402.6657497146655,0.6161659152644042
4,Centre,Berry,0,3,False,2013-09-21,False,1528.5955519490903,1625.4081162766677,0.3641728994412393
5,Rhodes,Birmingham-Southern,2,3,False,2013-09-21,False,1421.629212251812,1482.6383096886218,0.41309227984008384
6,Hendrix,Millsaps,0,3,False,2013-09-21,False,1455.296234910229,1598.6691185657742,0.3046353997910164
7,Centre,Oglethorpe,3,1,False,2013-09-22,True,1511.115252775911,1389.5184161795023,0.6681806015480193
8,Hendrix,Birmingham-Southern,3,1,False,2013-09-22,True,1440.6737357202603,1496.768419829341,0.41996746359668957
9,Rhodes,Millsaps,3,1,False,2013-09-22,True,1406.7578901775692,1612.4500761264158,0.2343230899903138
10,Oglethorpe,Berry,0,3,False,2013-09-24,False,1376.914322127229,1641.7860245720753,0.1787669271050069
11,Sewanee,Centre,0,3,False,2013-09-25,False,1498.705429889179,1524.38802871399,0.46310694222308657
12,Berry,Rhodes,3,0,False,2013-09-27,True,1650.0242625666672,1437.3849665779567,0.7727755208717464
13,Birmingham-Southern,Centre,0,3,False,2013-09-28,False,1474.8805616347195,1545.0992245321897,0.4003009957885346
14,Oglethorpe,Rhodes,2,3,False,2013-09-28,False,1368.3335096261887,1426.9982914588093,0.41636788634357946
15,Millsaps,Sewanee,3,1,False,2013-09-28,True,1583.1468472489078,1476.4762966624708,0.6488629793527811
16,Berry,Hendrix,3,0,False,2013-09-28,True,1660.9310375648233,1463.8750371763927,0.7566399580287929
17,Millsaps,Centre,0,3,False,2013-09-29,False,1597.1923280747965,1563.0543286178056,0.5489710356111073
18,Oglethorpe,Hendrix,0,3,False,2013-09-29,False,1353.3442657178198,1452.7777841296947,0.36068660176342104
19,Birmingham-Southern,Sewanee,3,2,False,2013-09-29,True,1455.6661138368697,1463.1585157262364,0.489219238059202
20,Berry,Millsaps,3,2,False,2013-10-04,True,1672.6123195794412,1570.8417183654633,0.6424097754990792
21,Hendrix,Sewanee,2,3,False,2013-10-05,False,1469.003641459563,1445.722817252722,0.5334537449047162
22,Rhodes,Centre,0,3,False,2013-10-05,False,1441.2385657028228,1587.5921723792965,0.3010129175806537
23,Berry,Birmingham-Southern,2,3,False,2013-10-05,False,1685.4855676614743,1474.0542212667385,0.7715522130310672
24,Oglethorpe,Millsaps,0,3,False,2013-10-05,False,1336.0313088331757,1558.5746317640444,0.21736944324805782
25,Hendrix,Centre,0,3,False,2013-10-06,False,1449.799306642993,1601.214939879328,0.29491764788598707
26,Rhodes,Sewanee,1,3,False,2013-10-06,False,1426.7899456589514,1463.9340029951284,0.44674813220446363
27,Oglethorpe,Birmingham-Southern,0,3,False,2013-10-06,False,1325.597575557269,1500.7718450998452,0.26729619340580546
28,Berry,Sewanee,3,0,False,2013-10-11,True,1657.7096879923558,1480.79334784019,0.7346632230744118
29,Oglethorpe,Sewanee,0,3,False,2013-10-12,False,1312.7673582737903,1468.73127887308,0.2895027056467661
30,Berry,Centre,3,0,False,2013-10-12,True,1670.445853284784,1614.5714374954703,0.5797236350913091
31,Birmingham-Southern,Rhodes,3,0,False,2013-10-12,True,1512.919790516731,1408.9200203707728,0.6453521476073211
32,Millsaps,Hendrix,0,3,False,2013-10-12,False,1568.5262471436251,1435.6432595444658,0.6824244247990072
33,Oglethorpe,Centre,1,3,False,2013-10-13,False,1298.8712284027454,1595.7423094803655,0.1533028997598327
34,Birmingham-Southern,Hendrix,2,3,False,2013-10-13,False,1529.9428874315795,1466.374438636341,0.590475014558122
35,Millsaps,Rhodes,2,3,False,2013-10-13,False,1535.7698747532727,1392.9575070923322,0.6946806726164074
36,Centre,Sewanee,3,1,False,2013-10-16,True,1601.6933843467593,1481.8511145599546,0.6659374641232422
37,Birmingham-Southern,Millsaps,2,3,False,2013-10-16,False,1508.685786907487,1510.761370539082,0.4970130305778365
38,Rhodes,Hendrix,0,3,False,2013-10-16,False,1416.83709901325,1486.5557390878532,0.4009921737316922
39,Berry,Oglethorpe,3,0,False,2013-10-17,True,1690.6191188004013,1292.7391124123521,0.9080772939995204
40,Centre,Birmingham-Southern,3,1,False,2013-10-19,True,1615.0558857818296,1490.7933178066849,0.6715740390051089
41,Rhodes,Oglethorpe,3,2,False,2013-10-19,True,1397.5894746741287,1288.4275400997121,0.6521235405501755
42,Sewanee,Millsaps,0,3,False,2013-10-19,False,1469.1641437469896,1527.7279999044904,0.41650907339118315
43,Hendrix,Berry,1,3,False,2013-10-19,False,1504.5410561657284,1695.0314086884243,0.25038676298398754
44,Hendrix,Oglethorpe,3,0,False,2013-10-20,True,1494.5255856463689,1276.4861145999532,0.7781876764062816
45,Centre,Millsaps,3,1,False,2013-10-20,True,1628.1929242216252,1546.392142838809,0.6155927647262791
46,Rhodes,Berry,0,3,False,2013-10-20,False,1410.1130272143223,1704.6202882456128,0.15507747938147767
47,Sewanee,Birmingham-Southern,2,3,False,2013-10-20,False,1449.1717082242128,1478.3146062529488,0.4581580836149395
48,Millsaps,Berry,0,3,False,2013-10-26,False,1531.8446555578287,1711.7984762409276,0.2619423566444945
49,Sewanee,Rhodes,2,3,False,2013-10-26,False,1432.678017214075,1402.6693082040115,0.5430789322853317
50,Birmingham-Southern,Oglethorpe,3,0,False,2013-10-26,True,1493.9637629197136,1266.3382580236032,0.7875663197333218
51,Centre,Hendrix,3,1,False,2013-10-26,True,1643.569213632574,1505.1725771788674,0.6892627996315889
52,Millsaps,Oglethorpe,3,1,False,2013-10-27,True,1519.2714224388928,1256.604866930083,0.8193618931103008
53,Centre,Rhodes,3,1,False,2013-10-27,True,1655.9987016473106,1421.2109475532604,0.7943824215797693
54,Sewanee,Hendrix,0,3,False,2013-10-27,False,1413.127175651803,1493.3476258135413,0.38656221310472405
55,Birmingham-Southern,Berry,1,3,False,2013-10-27,False,1504.1605795725143,1723.7117237839168,0.22031391299713507
56,Oglethorpe,Berry,0,3,True,2013-11-08,False,1249.6223265499332,1732.1806678281769,0.05853407412281204
57,Birmingham-Southern,Millsaps,1,3,True,2013-11-08,False,1495.3480230526288,1526.4969467144808,0.45529281386440323
58,Oglethorpe,Birmingham-Southern,0,3,True,2013-11-09,False,1246.8126909920381,1477.1363104980528,0.20984676317956147
59,Millsaps,Berry,0,3,True,2013-11-09,False,1543.6744843565903,1734.9478256847315,0.24954173558212106
