,home,away,home_score,away_score,postseason,date,home_won,home_elo,away_elo,elo_win_prob
0,Sewanee,Centre,1,3,False,2015-09-15,False,1421.5868969580695,1536.3630376923563,0.34058135592751226
1,Millsaps,Birmingham-Southern,0,3,False,2015-09-16,False,1570.4924131958708,1555.956510507225,0.5209066486711716
2,Hendrix,Rhodes,3,0,False,2015-09-16,True,1620.7267544924246,1335.6250863096948,0.8376950457700583
3,Oglethorpe,Millsaps,0,3,False,2015-09-19,False,1361.1252418933593,1545.4888940596545,0.2570644449266422
4,Centre,Hendrix,0,3,False,2015-09-19,False,1549.29084650946,1628.5173922954618,0.3879198104973316
5,Sewanee,Rhodes,3,2,False,2015-09-19,True,1407.963642720969,1328.122710997648,0.6129196005424611
6,Berry,Birmingham-Southern,0,3,False,2015-09-19,False,1577.8374178255724,1579.2336518815266,0.49799066848954165
7,Centre,Rhodes,3,1,False,2015-09-20,True,1530.670695605588,1314.866425865936,0.775958760674285
8,Oglethorpe,Birmingham-Southern,0,3,False,2015-09-20,False,1348.7861485368805,1601.489087028941,0.18928311414713933
9,Sewanee,Hendrix,0,3,False,2015-09-20,False,1421.8985371014403,1645.931581427877,0.21591411130272567
10,Berry,Millsaps,3,0,False,2015-09-20,True,1553.9338657380745,1557.1881585792462,0.4953168330906249
11,Oglethorpe,Berry,0,3,False,2015-09-23,False,1339.7005590578178,1578.1586577497244,0.20218797817478
12,Berry,Centre,3,0,False,2015-09-26,True,1587.438305576876,1539.6323451786166,0.5683673882865512
13,Oglethorpe,Sewanee,0,3,False,2015-09-26,False,1329.9955361054283,1411.5346597589094,0.38476372733627684
14,Birmingham-Southern,Hendrix,0,3,False,2015-09-26,False,1610.1956820543478,1655.818876014039,0.4347177446542126
15,Millsaps,Rhodes,3,0,False,2015-09-26,True,1534.634992790766,1306.2583958583336,0.7882887884567528
16,Oglethorpe,Centre,0,3,False,2015-09-27,False,1311.526877193287,1520.3054017043298,0.23115057684950505
17,Millsaps,Hendrix,0,3,False,2015-09-27,False,1544.797130944842,1675.2811944308644,0.32057585929970717
18,Birmingham-Southern,Rhodes,3,2,False,2015-09-27,True,1589.3292303109456,1296.5569664576822,0.8436093681667247
19,Berry,Sewanee,3,0,False,2015-09-27,True,1608.1566709391216,1428.8110443579244,0.7373802271462765
20,Rhodes,Oglethorpe,3,0,False,2015-10-03,True,1291.0791253330806,1300.4316495045107,0.4865438858117066
21,Millsaps,Centre,1,3,False,2015-10-03,False,1529.409489698456,1530.865165416663,0.4979051265023074
22,Birmingham-Southern,Sewanee,3,2,False,2015-10-03,True,1594.9592930569436,1416.868091490073,0.7359794711191247
23,Hendrix,Berry,3,1,False,2015-10-03,True,1689.757846173295,1620.7624200361004,0.598007436372675
24,Hendrix,Oglethorpe,3,0,False,2015-10-04,True,1705.837548718388,1277.4873962567558,0.9217079022317968
25,Birmingham-Southern,Centre,3,1,False,2015-10-04,True,1604.464032096655,1549.6364504419716,0.5782547192120612
26,Millsaps,Sewanee,3,1,False,2015-10-04,True,1509.4932846383635,1407.7411189420673,0.6423853965277417
27,Rhodes,Berry,3,2,False,2015-10-04,True,1315.7250188141186,1605.5641500785418,0.15863118941722532
28,Berry,Oglethorpe,3,0,False,2015-10-07,True,1576.163265965357,1273.8036272900897,0.8507533559964112
29,Centre,Oglethorpe,3,0,False,2015-10-10,True,1533.7060789138725,1266.8875040452433,0.8228724602309649
30,Hendrix,Birmingham-Southern,3,2,False,2015-10-10,True,1709.5955694112617,1621.3338433281726,0.6243551802428204
31,Sewanee,Berry,0,3,False,2015-10-10,False,1394.1840105116985,1583.327104877529,0.25184522290506056
32,Rhodes,Millsaps,0,3,False,2015-10-10,False,1346.0142959950986,1523.7978687772538,0.26436477374851813
33,Sewanee,Oglethorpe,3,0,False,2015-10-11,True,1382.0954398122556,1258.7223965355731,0.6704436553907528
34,Rhodes,Birmingham-Southern,0,3,False,2015-10-11,False,1333.3247868551698,1608.461277822069,0.17025615203126185
35,Hendrix,Millsaps,3,2,False,2015-10-11,True,1723.1187829225203,1535.8173291029423,0.7461520319242498
36,Centre,Berry,0,3,False,2015-10-11,False,1542.2082008227862,1594.7972474174558,0.4248910087354333
37,Rhodes,Hendrix,0,3,False,2015-10-14,False,1325.1524915576692,1732.2573097732472,0.08758511713431859
38,Birmingham-Southern,Millsaps,3,0,False,2015-10-14,True,1616.319505048156,1527.0328395211639,0.6257379288970129
39,Centre,Sewanee,3,0,False,2015-10-15,True,1521.8134324034854,1397.9141443534995,0.6711126320160714
40,Berry,Hendrix,3,0,False,2015-10-16,True,1613.8285742181151,1736.369486595546,0.3306155817513124
41,Sewanee,Birmingham-Southern,0,3,False,2015-10-17,False,1383.0749489138311,1634.2840844610994,0.1906062040161647
42,Oglethorpe,Hendrix,0,3,False,2015-10-17,False,1243.8540248067768,1706.2614056374493,0.06526355460220251
43,Centre,Millsaps,0,3,False,2015-10-17,False,1537.600026066714,1510.2148016173028,0.5393290924068702
44,Berry,Rhodes,3,1,False,2015-10-17,True,1645.9590262940521,1320.948405935222,0.8665637131327708
45,Oglethorpe,Rhodes,2,3,False,2015-10-18,False,1240.7213741858711,1315.751470643008,0.3936708219057606
46,Sewanee,Millsaps,0,3,False,2015-10-18,False,1373.9258511210553,1534.3182396395064,0.28428743751072044
47,Centre,Birmingham-Southern,0,3,False,2015-10-18,False,1511.7122296311843,1643.0495159132008,0.31950703452789575
48,Hendrix,Sewanee,3,0,False,2015-10-24,True,1709.3416641709239,1360.2800541205406,0.8817763361073224
49,Rhodes,Centre,3,1,False,2015-10-24,True,1329.2290024832769,1496.3758919738452,0.27644296700164406
50,Birmingham-Southern,Oglethorpe,3,0,False,2015-10-24,True,1657.4795379960874,1226.5492245972637,0.9227730113381412
51,Millsaps,Berry,0,3,False,2015-10-24,False,1547.2100296643664,1651.2964777687414,0.3545336626853373
52,Hendrix,Centre,1,3,False,2015-10-25,False,1715.0164000377724,1468.8148521654919,0.8049069466345783
53,Birmingham-Southern,Berry,2,3,False,2015-10-25,False,1661.1864334518566,1667.2540116202026,0.49126894070289
54,Millsaps,Oglethorpe,3,0,False,2015-10-25,True,1530.1924138554702,1222.9146651523079,0.854312471848386
55,Rhodes,Sewanee,3,1,False,2015-10-25,True,1358.171283803211,1354.7667483831376,0.5048993635035235
56,Oglethorpe,Hendrix,0,3,True,2015-11-06,False,1216.1587418481845,1682.8201221723893,0.06378549286801759
57,Centre,Millsaps,1,3,True,2015-11-06,False,1499.780983437337,1537.1854152067476,0.44637770325006404
58,Millsaps,Hendrix,0,3,True,2015-11-07,False,1554.0309747402646,1685.8316932467042,0.31892728998686404
59,Hendrix,Berry,3,2,True,2015-11-13,True,1700.2364219092735,1684.0253125719269,0.5233127461418642
