,home,away,home_score,away_score,postseason,date,home_won,home_elo,away_elo,elo_win_prob
0,Centre,Sewanee,0,3,False,2019-09-13,False,1383.1022500967033,1523.1479284667569,0.30870773021075393
1,Rhodes,Hendrix,0,3,False,2019-09-14,False,1422.5112777431534,1567.1323728789432,0.30311546226635216
2,Oglethorpe,Berry,0,3,False,2019-09-18,False,1347.4487719158933,1695.4929737976638,0.11883556983499716
3,Birmingham-Southern,Berry,3,2,False,2019-09-20,True,1642.046327025048,1701.0340961159743,0.4159161449955804
4,Millsaps,Berry,0,3,False,2019-09-21,False,1403.4320971114641,1681.0752079979477,0.16822743215891084
5,Birmingham-Southern,Oglethorpe,3,1,False,2019-09-21,True,1663.073345805207,1341.7446645638133,0.8640938226199604
6,Centre,Rhodes,3,0,False,2019-09-21,True,1368.284279046587,1407.9617355543685,0.44314649366235254
7,Sewanee,Hendrix,0,3,False,2019-09-21,False,1537.1066749648621,1580.8469611912417,0.4373831337239079
8,Millsaps,Oglethorpe,3,0,False,2019-09-22,True,1395.3571803678365,1336.4537489338386,0.5839659109833872
9,Centre,Hendrix,0,3,False,2019-09-22,False,1395.013247350794,1600.4262856939577,0.23461151677898584
10,Sewanee,Rhodes,3,1,False,2019-09-22,True,1516.1122845461146,1383.0676995651618,0.682625991111048
11,Millsaps,Birmingham-Southern,1,3,False,2019-09-24,False,1415.326816640634,1668.5095929004087,0.18885960931851997
12,Centre,Oglethorpe,3,2,False,2019-09-28,True,1383.7518945454026,1317.8104022698033,0.5937741500786674
13,Sewanee,Berry,2,3,False,2019-09-28,False,1528.8072449016727,1688.8427183261026,0.2847056618355626
14,Rhodes,Birmingham-Southern,1,3,False,2019-09-28,False,1370.9974123119218,1675.8011045188691,0.14746906198343057
15,Hendrix,Millsaps,3,0,False,2019-09-28,True,1611.1385261268006,1407.7724322678932,0.7632659808309287
16,Centre,Berry,0,3,False,2019-09-29,False,1398.3760251425706,1698.6651186243498,0.15076636171998217
17,Sewanee,Oglethorpe,3,1,False,2019-09-29,True,1518.5578410755925,1303.91112106361,0.7747982218417969
18,Hendrix,Birmingham-Southern,3,2,False,2019-09-29,True,1622.501759046916,1681.5311423386217,0.4158579521644082
19,Rhodes,Millsaps,1,3,False,2019-09-29,False,1365.0986498325847,1396.9667290536554,0.45426633160339225
20,Berry,Rhodes,3,0,False,2019-10-04,True,1705.649591021639,1346.927996568449,0.8874512860232711
21,Birmingham-Southern,Centre,3,0,False,2019-10-05,True,1661.5702310736776,1391.1392397800114,0.8258830421522702
22,Millsaps,Sewanee,0,3,False,2019-10-05,False,1414.106020317548,1527.5659122019206,0.342285077481017
23,Oglethorpe,Rhodes,1,3,False,2019-10-05,False,1295.2598025529294,1341.672966728738,0.4336005998265741
