,home,away,home_score,away_score,postseason,date,home_won,home_elo,away_elo,elo_win_prob
0,Centre,Sewanee,3,2,False,2016-09-13,True,1487.950583538223,1390.7338379547573,0.6363656692512836
1,Berry,Oglethorpe,3,0,False,2016-09-14,True,1611.832632941124,1308.7313587936799,0.8512946135077263
2,Rhodes,Hendrix,0,3,False,2016-09-14,False,1418.6502061753802,1644.931442032111,0.2137312112083169
3,Berry,Hendrix,1,3,False,2016-09-16,False,1618.9704914927531,1654.722222841654,0.4487299573497374
4,Birmingham-Southern,Sewanee,3,0,False,2016-09-17,True,1595.6671677243683,1378.2640909371585,0.7775546901172413
5,Millsaps,Centre,1,3,False,2016-09-17,False,1525.8149765472633,1501.0414194451769,0.5355917157545895
6,Oglethorpe,Hendrix,0,3,False,2016-09-17,False,1301.8395864732584,1671.6553326360793,0.1063260616242033
7,Berry,Rhodes,3,0,False,2016-09-17,True,1601.0212931987637,1408.391108037381,0.7519181013377547
8,Birmingham-Southern,Centre,3,0,False,2016-09-18,True,1606.3445425987406,1521.2342485513277,0.6200909398640092
9,Oglethorpe,Rhodes,2,3,False,2016-09-18,False,1296.7359355152967,1397.086286447162,0.3594705016883846
10,Millsaps,Sewanee,1,3,False,2016-09-18,False,1504.3913079170798,1368.088289837789,0.6866756724439552
11,Birmingham-Southern,Millsaps,3,0,False,2016-09-21,True,1624.5801774852682,1476.9242810193216,0.7005620376773556
12,Sewanee,Berry,0,3,False,2016-09-24,False,1394.1562005974304,1612.9292243345515,0.22108429820721706
13,Hendrix,Birmingham-Southern,3,0,False,2016-09-24,True,1676.6265275650817,1638.953199676755,0.5540047868201912
14,Rhodes,Millsaps,3,0,False,2016-09-24,True,1409.4164163483736,1463.370302983505,0.4229723103317977
15,Centre,Oglethorpe,3,2,False,2016-09-24,True,1504.1697802129363,1283.7949974545147,0.7804994375033074
16,Centre,Berry,0,3,False,2016-09-25,False,1512.0718004628172,1623.04493630022,0.3455149747789398
17,Sewanee,Oglethorpe,0,3,False,2016-09-25,False,1383.544154283484,1276.1699418974865,0.6497853105545834
18,Hendrix,Millsaps,3,0,False,2016-09-25,True,1698.0342977977125,1437.5600092465177,0.8174865430943099
19,Rhodes,Birmingham-Southern,0,3,False,2016-09-25,False,1437.1137454524473,1618.9954890528995,0.25980246860588113
20,Berry,Millsaps,3,0,False,2016-09-30,True,1638.6092131772887,1429.1547650951038,0.7695401955067952
21,Rhodes,Sewanee,1,3,False,2016-10-01,False,1424.6432269593652,1352.354459376864,0.6025562474160279
22,Hendrix,Centre,3,0,False,2016-10-01,True,1706.7949437291857,1495.487081673428,0.7714268978528358
23,Oglethorpe,Millsaps,0,3,False,2016-10-01,False,1305.3498266491058,1418.6254459824245,0.34252392164192164
24,Berry,Birmingham-Southern,1,3,False,2016-10-01,False,1649.6712837929624,1630.8148824655152,0.5271099300570931
25,Rhodes,Centre,2,3,False,2016-10-02,False,1400.540977062724,1485.0409357735841,0.3807370825256211
26,Hendrix,Sewanee,3,0,False,2016-10-02,True,1717.7664526322496,1375.11064874378,0.877877815430608
27,Oglethorpe,Birmingham-Southern,0,3,False,2016-10-02,False,1288.9086784102935,1650.686630471311,0.11080336060773446
28,Oglethorpe,Berry,0,3,False,2016-10-05,False,1283.5901171011224,1628.5868865906787,0.12068481997269699
29,Hendrix,Rhodes,1,3,False,2016-10-05,False,1723.6283174915804,1386.8344420918017,0.874213807083656
30,Millsaps,Rhodes,1,3,False,2016-10-07,False,1434.0593014051756,1420.8489380080025,0.5190020848643423
31,Berry,Sewanee,3,0,False,2016-10-07,True,1634.2120361784314,1369.4202262004098,0.8211655456095454
32,Birmingham-Southern,Rhodes,3,0,False,2016-10-08,True,1655.8621166994517,1440.4144095805368,0.7756017312363365
33,Millsaps,Hendrix,1,3,False,2016-10-08,False,1413.2992180106019,1688.6597652082341,0.1700740248132131
34,Berry,Centre,1,3,False,2016-10-08,False,1642.7960899891732,1498.0843457312503,0.6969947534666571
35,Oglethorpe,Sewanee,3,2,False,2016-10-08,True,1277.797245742433,1361.1789766143827,0.3822559444136152
36,Oglethorpe,Centre,2,3,False,2016-10-09,False,1300.036031743543,1524.5672018682603,0.21542906246593463
37,Birmingham-Southern,Hendrix,0,3,False,2016-10-09,False,1666.6332336001076,1695.2444728184707,0.45891794074552256
38,Sewanee,Centre,1,3,False,2016-10-11,False,1340.0435742497943,1532.0544550191655,0.24874750159092368
39,Hendrix,Oglethorpe,3,0,False,2016-10-14,True,1715.77099542326,1292.2805854947692,0.919665198039809
40,Hendrix,Berry,3,0,False,2016-10-15,True,1719.6270659173492,1614.916299850507,0.6462883246982863
41,Centre,Millsaps,0,3,False,2016-10-15,False,1541.5824092100856,1406.4962570180733,0.6851665979343123
42,Rhodes,Oglethorpe,3,0,False,2016-10-15,True,1430.1524131144279,1288.5025035411777,0.6932595320703843
43,Sewanee,Birmingham-Southern,0,3,False,2016-10-15,False,1330.0936741861574,1644.6051724443225,0.14058088229592744
44,Sewanee,Millsaps,0,3,False,2016-10-16,False,1323.345791835953,1437.3590552277365,0.3415683077566887
45,Centre,Birmingham-Southern,0,3,False,2016-10-16,False,1508.6944125092386,1651.130917999254,0.30577842668307376
46,Rhodes,Berry,0,3,False,2016-10-16,False,1444.8759555750494,1598.9946098504456,0.2916924724228283
47,Millsaps,Birmingham-Southern,1,3,False,2016-10-19,False,1452.7512418748502,1664.9617822613018,0.22765815597956163
48,Birmingham-Southern,Oglethorpe,3,0,False,2016-10-22,True,1673.7046980647142,1274.6296376263633,0.9086499181713346
49,Centre,Hendrix,0,3,False,2016-10-22,False,1494.0170480284512,1736.6052263318315,0.19838007777239577
50,Sewanee,Rhodes,1,3,False,2016-10-22,False,1306.950513063632,1430.8747168987536,0.32885571153311943
51,Millsaps,Berry,0,3,False,2016-10-22,False,1443.6449156356678,1612.2101635175695,0.27481282439387233
52,Centre,Rhodes,0,3,False,2016-10-23,False,1484.4948042953763,1443.369307543405,0.558909474216696
53,Millsaps,Oglethorpe,2,3,False,2016-10-23,False,1430.453900064762,1270.3443680853181,0.7153811486043643
54,Sewanee,Hendrix,0,3,False,2016-10-23,False,1293.7962846023072,1745.7159658420258,0.06904459324580704
55,Birmingham-Southern,Berry,1,3,False,2016-10-23,False,1678.08950199249,1624.6873506648724,0.5762523340094783
56,Centre,Rhodes,3,1,True,2016-11-04,True,1457.667149532975,1468.3564103123854,0.48462176898902765
57,Oglethorpe,Birmingham-Southern,0,3,True,2016-11-04,False,1294.9776918762711,1655.039408632111,0.11178049169262323
58,Millsaps,Berry,1,3,True,2016-11-04,False,1404.7001787150048,1646.4301243171521,0.19916689536554105
59,Centre,Hendrix,0,3,True,2016-11-05,False,1478.2822787734137,1748.97172722817,0.17390311570844988
60,Berry,Birmingham-Southern,3,1,True,2016-11-05,True,1654.1082466694338,1660.2594335527936,0.4911486552870937
