,home,away,home_score,away_score,postseason,date,home_won,home_elo,away_elo,elo_win_prob
0,Oglethorpe,Centre,3,1,False,2021-02-27,True,1304.1919096111944,1398.7275923267987,0.3672131573162713
1,Oglethorpe,Centre,3,0,False,2021-02-27,True,1329.5033833185437,1374.7946327152126,0.4351873662113737
2,Birmingham-Southern,Rhodes,3,1,False,2021-02-28,True,1662.9337062360053,1375.1082269176031,0.8398155936561368
3,Birmingham-Southern,Rhodes,3,2,False,2021-02-28,True,1669.3410824897599,1368.8968443038684,0.8493479494931226
4,Hendrix,Millsaps,3,0,False,2021-02-28,True,1583.9504917758788,1441.2344382051767,0.6945630659595128
5,Hendrix,Millsaps,3,1,False,2021-02-28,True,1598.6114646098222,1427.4184837605774,0.728191445666373
6,Centre,Rhodes,3,1,False,2021-03-06,True,1349.5399309825357,1363.615619900634,0.4797545304820476
7,Centre,Rhodes,0,3,False,2021-03-06,False,1370.3497497632538,1344.0032190404136,0.5378431954781611
8,Birmingham-Southern,Oglethorpe,3,0,False,2021-03-06,True,1674.7645563080075,1356.6143897403977,0.8619307520298659
9,Birmingham-Southern,Oglethorpe,3,0,False,2021-03-06,True,1681.3918802105738,1350.2019957970847,0.8706234283085996
10,Millsaps,Berry,1,3,False,2021-03-07,False,1417.0345118304933,1694.9413708281652,0.1680150941820174
11,Millsaps,Berry,0,3,False,2021-03-07,False,1410.3139080632127,1701.448428359959,0.15763847395525374
12,Oglethorpe,Rhodes,2,3,False,2021-03-13,False,1344.1826498880166,1368.0398340758836,0.46572061192527914
13,Berry,Hendrix,3,1,False,2021-03-13,True,1708.7415702900119,1609.4838067831672,0.6390800695439082
14,Berry,Hendrix,3,0,False,2021-03-13,True,1723.1783675082556,1595.8045656613986,0.6755120388099488
15,Millsaps,Centre,2,3,False,2021-03-13,False,1402.7472613133605,1344.5332763803021,0.5830013784933992
16,Millsaps,Centre,3,0,False,2021-03-13,True,1381.759211687598,1364.4545373464061,0.5248828558139338
17,Oglethorpe,Rhodes,3,0,False,2021-03-13,True,1327.4167078587066,1383.9447629673919,0.4193598931818412
18,Centre,Birmingham-Southern,0,3,False,2021-03-20,False,1343.2130144550624,1687.601955651761,0.12105662063741521
19,Rhodes,Berry,0,3,False,2021-03-20,False,1357.9696618144474,1738.753789645378,0.10047393938991084
20,Centre,Birmingham-Southern,0,3,False,2021-03-20,False,1337.4022966644666,1693.2439925290444,0.11421521847503827
21,Rhodes,Berry,0,3,False,2021-03-20,False,1353.1469127237317,1743.457430805188,0.09562516031887239
22,Hendrix,Oglethorpe,0,3,False,2021-03-21,False,1581.157257214287,1355.2874329859783,0.7858705298126688
23,Hendrix,Oglethorpe,3,1,False,2021-03-21,True,1543.435471783279,1391.146983953901,0.7061260865323556
24,Millsaps,Rhodes,3,2,False,2021-03-27,True,1404.5648346085293,1348.5569050284257,0.5799108804955164
25,Millsaps,Rhodes,3,0,False,2021-03-27,True,1419.6880429106907,1334.1914393904065,0.6206146728742474
26,Birmingham-Southern,Hendrix,3,0,False,2021-03-27,True,1698.5749239636773,1555.1904283219847,0.6953787597599561
27,Birmingham-Southern,Hendrix,1,3,False,2021-03-27,False,1713.1967434951994,1541.4100890176144,0.7288673312448418
28,Centre,Berry,0,3,True,2021-03-27,False,1331.9199661776647,1747.9389233435543,0.08357026497998009
29,Centre,Berry,0,3,True,2021-03-27,False,1327.9085934586258,1751.8662213089804,0.08013632116209522
30,Hendrix,Centre,3,0,False,2021-04-03,True,1569.1885035061593,1324.0620500428452,0.8039332836119661
31,Oglethorpe,Millsaps,3,1,False,2021-04-03,True,1379.9457611298617,1437.8985386127267,0.41736421594557493
32,Oglethorpe,Millsaps,3,0,False,2021-04-03,True,1403.2511924920386,1415.9106622870222,0.4817896167483649
33,Hendrix,Centre,3,0,False,2021-04-03,True,1578.5997058927849,1315.0539995844033,0.8201097214702122
34,Birmingham-Southern,Millsaps,3,0,False,2021-04-10,True,1684.0420502454058,1392.7540714882884,0.8424787930743781
35,Rhodes,Hendrix,3,2,False,2021-04-10,True,1317.1498294727091,1587.2344392622147,0.17440387212375158
36,Rhodes,Hendrix,1,3,False,2021-04-10,False,1346.8712900762541,1558.4497318431982,0.22829857381546884
37,Birmingham-Southern,Millsaps,2,3,False,2021-04-10,False,1691.6030681778357,1385.4661913007915,0.8534931739330521
38,Oglethorpe,Birmingham-Southern,0,3,True,2021-04-17,False,1428.1252908881172,1660.8773139162458,0.20753828833678792
39,Berry,Hendrix,3,1,True,2021-04-17,True,1755.6351428802732,1567.2165227237015,0.7473681790645796
40,Birmingham-Southern,Berry,3,0,True,2021-04-18,True,1670.3940363187667,1765.74041571769,0.36612943020340183
