,home,away,home_score,away_score,postseason,date,home_won,home_elo,away_elo,elo_win_prob
0,Oglethorpe,Berry,0,3,False,2018-09-12,False,1358.0129587524466,1694.7917878288633,0.12579571760523192
1,Birmingham-Southern,Millsaps,3,0,False,2018-09-12,True,1605.5663524969837,1483.4431183871507,0.668852097750454
2,Rhodes,Hendrix,2,3,False,2018-09-12,False,1404.2788555362663,1574.9496381613756,0.2724039387446655
3,Berry,Sewanee,3,0,False,2018-09-14,True,1700.6488785916868,1418.0962816044541,0.835690089399623
4,Oglethorpe,Sewanee,1,3,False,2018-09-15,False,1351.9747643073954,1410.504098026714,0.4165573707004588
5,Rhodes,Birmingham-Southern,0,3,False,2018-09-15,False,1394.4723137414583,1621.4614518049618,0.2130472034681089
6,Hendrix,Millsaps,3,0,False,2018-09-15,True,1584.3586044029512,1468.5053355703244,0.6608097963817651
7,Berry,Centre,3,0,False,2018-09-15,True,1708.5357543005048,1439.1924234064627,0.8249808599770236
8,Oglethorpe,Centre,3,2,False,2018-09-16,True,1335.3124694793771,1431.121416259378,0.36551168285444435
9,Hendrix,Birmingham-Southern,3,1,False,2018-09-16,True,1600.6397341766265,1631.2219809831126,0.45610192472153793
10,Rhodes,Millsaps,3,1,False,2018-09-16,True,1384.246047974989,1453.2168455205767,0.40202664569325786
11,Centre,Sewanee,1,3,False,2018-09-18,False,1409.3957269679884,1426.242053759688,0.47577516853196805
12,Birmingham-Southern,Berry,2,3,False,2018-09-21,False,1610.7140062162978,1716.9366730216077,0.35172466846016304
13,Millsaps,Berry,0,3,False,2018-09-22,False,1430.6378900001296,1729.0071079304523,0.15218684274547617
14,Hendrix,Sewanee,3,2,False,2018-09-22,True,1622.395657187765,1444.1840980984307,0.7361140761579503
15,Birmingham-Southern,Oglethorpe,3,0,False,2018-09-22,True,1598.0519181517318,1358.154048896617,0.7991456408472518
16,Rhodes,Centre,3,2,False,2018-09-22,True,1408.1649821472588,1390.3647202267096,0.525594246340915
17,Hendrix,Centre,3,2,False,2018-09-23,True,1631.8955504460787,1374.1656844116933,0.8151175877692024
18,Millsaps,Oglethorpe,3,1,False,2018-09-23,True,1423.3329215483468,1348.9335396885715,0.605462221232206
19,Rhodes,Sewanee,1,3,False,2018-09-23,False,1425.2435892789858,1435.0616550631078,0.48587442735409475
20,Berry,Hendrix,3,0,False,2018-09-29,True,1736.0554368443559,1638.5513172863873,0.6367483853179128
21,Sewanee,Millsaps,3,1,False,2018-09-29,True,1453.3816825297772,1439.1144326990586,0.5205206896803672
22,Oglethorpe,Rhodes,0,3,False,2018-09-29,False,1334.0112460798937,1405.808612184822,0.39812138027201005
23,Centre,Birmingham-Southern,0,3,False,2018-09-29,False,1367.715273714703,1607.6929273910637,0.2007806500165902
24,Berry,Rhodes,3,1,False,2018-09-30,True,1753.4915143490962,1423.668452408879,0.8697345959830283
25,Oglethorpe,Hendrix,0,3,False,2018-09-30,False,1314.9014198268371,1622.2135912367644,0.1456628672276233
26,Centre,Millsaps,3,1,False,2018-09-30,True,1358.0778025139066,1421.0338379897903,0.4103777327290676
27,Sewanee,Birmingham-Southern,0,3,False,2018-09-30,False,1472.5608549425626,1616.910167470413,0.3034460448617228
28,Berry,Oglethorpe,3,0,False,2018-10-03,True,1758.702130509775,1307.9096021999112,0.9305371801551129
29,Hendrix,Rhodes,3,0,False,2018-10-03,True,1628.9684038873022,1418.5922669772292,0.7704797995241885
30,Centre,Oglethorpe,0,3,False,2018-10-06,False,1381.6626932047438,1304.6344463093187,0.6090713202353287
31,Birmingham-Southern,Hendrix,3,1,False,2018-10-06,True,1630.6391915135907,1639.9853735101412,0.48655300632903686
32,Millsaps,Rhodes,3,2,False,2018-10-06,True,1398.777104218448,1408.1043655928559,0.4865802156385765
33,Sewanee,Berry,1,3,False,2018-10-06,False,1457.9954447891998,1762.0363458623297,0.14802195931081105
34,Centre,Berry,0,3,False,2018-10-07,False,1352.427269833448,1767.7873467614645,0.08386120207260803
35,Sewanee,Oglethorpe,3,0,False,2018-10-07,True,1452.0745664167673,1331.915190445646,0.6663434304205734
36,Birmingham-Southern,Rhodes,3,2,False,2018-10-07,True,1651.1770712604293,1390.5786036462237,0.8175931734870905
37,Millsaps,Hendrix,0,3,False,2018-10-07,False,1417.2602164554592,1620.629396682663,0.2367308089254425
38,Hendrix,Berry,0,3,False,2018-10-12,False,1631.4349585628627,1771.7280524457415,0.30840387026938854
39,Birmingham-Southern,Centre,3,0,False,2018-10-12,True,1657.7437170148942,1348.4019321339629,0.8557850643657234
40,Rhodes,Berry,0,3,False,2018-10-13,False,1384.2124726203745,1785.673534654479,0.09021639164181042
41,Millsaps,Centre,0,3,False,2018-10-13,False,1405.8971376270379,1341.712345450327,0.5913326851536657
42,Hendrix,Oglethorpe,3,0,False,2018-10-13,True,1616.631572789932,1316.8680046984616,0.8488458990151535
43,Birmingham-Southern,Sewanee,3,1,False,2018-10-13,True,1664.6660339253394,1468.0900817565798,0.7561307597387767
44,Rhodes,Oglethorpe,3,2,False,2018-10-14,True,1379.8820858215674,1309.8660989958355,0.5994188941918605
45,Millsaps,Sewanee,0,3,False,2018-10-14,False,1377.513168739662,1458.7435115903972,0.38518458079093926
